,receipe,nutricional,ingredients
11,Cowboy-style pork and beans,"Each 472g serving contains (excludes serving suggestion)
KCal
368
Carbs
35.4g
Fibre
13.4g
Protein
34.3g
Fat
6.9g
Saturates
1.7g
Sugars
15.4g
Salt
0.33g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
2 medium onions, finely chopped
1 red pepper, finely chopped
2 cloves garlic, chopped
400g pork fillet, visible fat removed and chopped into small chunks
2 x 400g tin chopped tomatoes
1 tbsp tomato puree
1 tsp blackstrap molasses
1 heaped tsp smoked paprika
1 tsp chilli powder
2 x 400g tin cannellini beans, drained weight approx 470g"
12,Courgette fritters with salsa,"Each 191g serving contains (excludes serving suggestion)
KCal
130
Carbs
13.9g
Fibre
3.3g
Protein
6.6g
Fat
4.7g
Saturates
1.3g
Sugars
5.2g
Salt
0.28g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 egg, beaten
pinch black pepper
15g Parmesan cheese, very finely grated
50g wholemeal flour
half tsp baking powder
2 courgettes, grated
4 spring onions, finely sliced (reserving 1 tbsp to serve)
2 tsp rapeseed oil
For the salsa:
10 leaves fresh mint, finely chopped
3 tomatoes, chopped
half red onion, finely chopped
half tsp cumin seeds
good pinch black pepper
Juice 1 fresh lime"
13,Courgette cornbread muffins with salsa,"Each 50g serving contains (excludes serving suggestion)
KCal
55
Carbs
8.1g
Fibre
1.0g
Protein
2.4g
Fat
1.2g
Saturates
0.4g
Sugars
1.2g
Salt
0.1g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 red onion, finely chopped
1 red pepper, finely chopped
1 courgette, grated
1 tsp oregano
2 eggs, beaten
200ml skimmed milk
2 tbsp 0% fat Greek yogurt
150g polenta
150g wholemeal flour
1 tsp baking powder
30g mature cheddar, grated
For the salsa:
4 tomatoes (200g), finely chopped
1 green chilli, finely chopped
3 sprigs mint, chopped
1 tsp vinegar"
14,Corn chowder with sweet potato croutons,"Each 510g serving contains (excludes serving suggestion)
KCal
313
Carbs
47.5g
Fibre
9.4g
Protein
12.0g
Fat
6.2g
Saturates
1.0g
Sugars
22.3g
Salt
0.8g
Fruit/Veg Portion
5
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the croutons:
1 sweet potato (150g), diced 1cm cubes
1 tsp oil
1 heaped tsp smoked paprika
For the chowder:
1 tsp oil
1 large onion, finely chopped
1 carrot, diced
1 stick celery, thinly sliced
180g frozen sweetcorn
good pinch white pepper
1 tbsp plain flour
1 reduced-salt vegetable stock cube, dissolved in 250ml water
300ml skimmed milk
1 tbsp fresh chives, chopped
good grind black pepper"
15,Coq au vin,"Each 764g serving contains (excludes serving suggestion)
KCal
377
Carbs
15.5g
Fibre
4.4g
Protein
30.7g
Fat
10.0g
Saturates
1.8g
Sugars
9.4g
Salt
1.77g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
half tbsp olive oil
1 small onion, finely chopped
1 chicken leg, skinned, but still on bone
4 baby onions/shallots, peeled and whole
50g button mushrooms
good pinch thyme
1 bay leaf
1 clove garlic, crushed
pinch pepper
125ml glass red wine (or white)
250ml chicken stock (using half stock cube and 250ml water)
1 tsp cornflour, dissolved in dash water"
16,Conchiglie with roasted tomato and tiger prawn,"Each 352g serving contains (excludes serving suggestion)
KCal
363
Carbs
48.7g
Fibre
8.4g
Protein
16.2g
Fat
9.7g
Saturates
1.4g
Sugars
2.9g
Salt
0.19g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g cherry tomatoes, halved
225g dried wholewheat pasta shapes, eg conchiglie
2 tbsp olive oil
2 cloves garlic, sliced
100g raw tiger prawns, shelled
handful fresh basil, torn
freshly ground black pepper"
17,Cold-brew iced coffee,"Each 145g serving contains (excludes serving suggestion)
KCal
19
Carbs
2.4g
Fibre
0.0g
Protein
2.0g
Fat
0.1g
Saturates
0.1g
Sugars
2.3g
Salt
0.06g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
3-4 heaped tbsp freshly ground coffee
750ml cold water
1-4 sweetener tablets (as desired)
ice cubes
400ml skimmed milk (optional)
Pinch cocoa powder (optional)"
18,Cod with tomato sauce,"Each 441g serving contains (excludes serving suggestion)
KCal
256
Carbs
17.0g
Fibre
4.2g
Protein
29.8g
Fat
6.8g
Saturates
1.0g
Sugars
15.2g
Salt
0.53g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp olive oil
1 large onion, peeled and chopped
400g tin chopped tomatoes
1 tbsp tomato ketchup
2 bay leaves
1 heaped tsp of dried parsley or 1 tbsp of fresh chopped parsley
freshly ground black pepper
2 thick pieces skinless cod fillet (approx. 150g each)"
19,Cod with roasted winter veggies,"Each 500g serving contains (excludes serving suggestion)
KCal
383
Carbs
52.6g
Fibre
10.4g
Protein
30.3g
Fat
3.4g
Saturates
0.7g
Sugars
24.6g
Salt
0.58g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp olive oil
2 tsp runny honey
grated zest and juice 1 lemon
300g butternut squash, peeled, de-seeded and cut into chunks
1 large sweet potato (300g) peeled and cut into chunks
1 large carrot, cut into chunks (150g)
1 sprig rosemary, chopped
2 chunky pieces skinless cod fillet, each approx 150g"
20,Cod Portugaise with boiled new potatoes and side salad,"Each 644g serving contains (excludes serving suggestion)
KCal
342
Carbs
34.3g
Fibre
6.3g
Protein
32.5g
Fat
4.4g
Saturates
0.8g
Sugars
12.6g
Salt
0.4g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 tbsp lemon juice
1 tbsp olive oil
2 tsp thyme
2 cloves garlic, peeled and crushed
freshly ground black pepper
4 fresh cod fillets (each 150g)
2 x 400g tins chopped tomatoes
125ml white wine
1 tbsp tomato puree
2 tsp oregano
2 bay leaves
12 small new potatoes (600g total weight)
4 servings salad leaves
4 servings cucumber
4 spring onions
12 cherry tomatoes"
