,receipe,nutricional,ingredients
46,Chicken and lentil curry,"Each 313g serving contains (excludes serving suggestion)
KCal
349
Carbs
36.2g
Fibre
6.6g
Protein
35.8g
Fat
5.3g
Saturates
0.7g
Sugars
13.4g
Salt
0.26g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp ground cumin seeds
1 tsp coriander seeds
1 tbsp rapeseed oil
4 onions, thinly sliced
4 cloves garlic, thinly sliced
3 cm fresh ginger, finely chopped
1-3 green chillies, split open
400g chicken breast, cut into bitesized pieces
half tsp chilli powder
1 tsp garam masala
1 tsp turmeric powder
juice 1 lemon
400g tin chopped tomatoes
150g red lentils"
47,Chicken casserole,"Each 346g serving contains (excludes serving suggestion)
KCal
274
Carbs
16.3g
Fibre
16.0g
Protein
38.6g
Fat
2.5g
Saturates
0.6g
Sugars
10.2g
Salt
0.03g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 small skinless chicken breasts (500g)
1 large onion, chopped
2 cloves garlic, crushed
2 green peppers, seeded and chopped
2 tbsp fresh marjoram or half tbsp dried
1 x 400g tin chopped tomatoes
150ml chicken stock
1 x 420g can borlotti beans, drained and rinsed
2 tbsp tomato purée
freshly ground black pepper"
48,Chicken risotto with spring vegetables,"Each 293g serving contains (excludes serving suggestion)
KCal
379
Carbs
52.5g
Fibre
4.1g
Protein
28.1g
Fat
5.4g
Saturates
2.4g
Sugars
3.0g
Salt
0.9g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1tsp olive oil
1 small onion, finely chopped
1 clove garlic, crushed
2 boneless, skinless chicken breast, cubed
225g risotto rice
1 litre hot chicken stock
1 x 100g pack asparagus spears, halved
150g frozen peas
2 tbsp Parmesan cheese
2 tbsp freshly chopped parsley
freshly ground black pepper"
49,Chicken butter bean and leek pie,"Each 525g serving contains (excludes serving suggestion)
KCal
533
Carbs
57.5g
Fibre
10.1g
Protein
41.6g
Fat
12.9g
Saturates
5.4g
Sugars
10.6g
Salt
0.59g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp oil
2 large boneless, skinless chicken breasts, cubed
2 leeks, sliced
2 tbsp flour
600ml semi-skimmed milk
2 tbsp fresh tarragon, chopped
50g mature Cheddar, grated
420g tin butter beans, drained and rinsed
750g floury potatoes, cooked and mashed
10g vegetable oil spread"
50,Chestnut and apricot stuffing,"Each 128g serving contains (excludes serving suggestion)
KCal
141
Carbs
23.6g
Fibre
4.8g
Protein
3.8g
Fat
2.4g
Saturates
0.3g
Sugars
8.1g
Salt
0.25g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp sunflower oil
4–5 onions (450g), chopped
2 cloves garlic, crushed
6 slices wholemeal bread (240g) roughly torn
1 heaped tsp dried thyme (or 2 tsp fresh thyme)
good pinch pepper
100g ready-to-eat dried apricots, some halved some roughly chopped
200g pack vacuum-packed chestnuts, some halved some whole
2 tbsp freshly chopped parsley"
51,Cherry and chocolate dessert pot,"Each 109g serving contains (excludes serving suggestion)
KCal
115
Carbs
17.6g
Fibre
1.3g
Protein
5.3g
Fat
2.4g
Saturates
1.4g
Sugars
15.0g
Salt
0.07g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
225g fresh cherries
2 tbsp artificial sweetener
1 level tsp level cornflour, blended with 1 tbsp cold water
100g quark or low-fat soft cheese
2tbsp skimmed milk
half level tsp vanilla extract
For the chocolate sauce:
25g dark chocolate, broken into pieces
1 heaped tsp unsweetened cocoa powder
half level tsp cornflour, blended with half tbsp cold water
1 level tbsp golden syrup"
52,Cheegay of fish,"Each 335g serving contains (excludes serving suggestion)
KCal
136
Carbs
3.1g
Fibre
2.0g
Protein
23.8g
Fat
2.7g
Saturates
0.4g
Sugars
1.6g
Salt
0.56g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g cod fillet, cubed
1 tsp sesame oil
5cm piece dried seaweed
2 spring onions, sliced
2 shiitake mushrooms, sliced
450ml fish or vegetable stock
25g baby leaf spinach
25g Chinese leaves, chopped
1 tsp red miso
freshly ground black pepper"
53,"Cheese, onion and spinach scones","Each 44g serving contains (excludes serving suggestion)
KCal
117
Carbs
14.1g
Fibre
2.2g
Protein
4.2g
Fat
4.4g
Saturates
1.3g
Sugars
0.9g
Salt
0.22g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g wholemeal flour
1 tsp baking powder
good pinch white pepper
50g mature grated cheddar cheese, reserving 2 tsp
4 spring onions, chopped finely
75g frozen spinach, defrosted, excess water squeezed out, chopped finely (to give 50g)
2 tbsp rapeseed oil
75ml skimmed milk (reserve 1 tbsp for glazing)
half tsp paprika (optional)"
54,Chargrilled fennel salad,"Each 192g serving contains (excludes serving suggestion)
KCal
85
Carbs
5.0g
Fibre
5.7g
Protein
3.3g
Fat
4.5g
Saturates
0.6g
Sugars
4.0g
Salt
0.04g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 fennel bulbs, cut into half cm-thick slices (375g prepared weight)
200g fine green beans, trimmed
150g cherry tomatoes, halved
Juice half lemon, plus wedges to serve
1 tbsp olive oil
10g fresh mint, roughly chopped
20g parsley, roughly chopped
10g pumpkin seeds"
55,Channa dahl,"Each 306g serving contains (excludes serving suggestion)
KCal
224
Carbs
34.6g
Fibre
5.9g
Protein
14.3g
Fat
1.8g
Saturates
0.2g
Sugars
4.3g
Salt
0.12g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
225g yellow lentils, washed and soaked for 2 hours
half tsp red chilli powder
2 cloves garlic, peeled and chopped
quarter tsp turmeric
1 tsp olive/sunflower oil
1 large onion, sliced
1 green chilli, finely chopped
half tsp garam masala powder
1 tbsp fresh coriander, chopped"
56,Celeriac mash,"Each 154g serving contains (excludes serving suggestion)
KCal
98
Carbs
12.7g
Fibre
5.5g
Protein
2.4g
Fat
2.9g
Saturates
1.1g
Sugars
2.1g
Salt
0.3g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 'heads' celeriac, peeled and chopped (approx. 700g peeled)
450g potatoes, peeled and chopped
1 clove garlic, peeled
4 tbsp half-fat crème fraiche
pinch grated nutmeg
25g low-fat vegetable spread
freshly ground black pepper"
57,Chana chaat (mixed bean salad),"Each 172g serving contains (excludes serving suggestion)
KCal
157
Carbs
22.9g
Fibre
5.8g
Protein
8.1g
Fat
2.3g
Saturates
0.4g
Sugars
4.9g
Salt
0.1g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the mint chutney:
1 large handful fresh mint
½ green chilli, deseeded
½ onion, chopped
250g low-fat natural yogurt
pinch chilli powder
freshly ground black pepper
For the chana chaat:
2 x 400g tins chickpeas, drained and rinsed
560g tin new potatoes, drained and quartered
220g tin red kidney beans, drained and rinsed
220g tin black-eyed beans, drained and rinsed
198g can of sweetcorn, drained
½ tsp chilli powder or to taste
1 green chilli, finely chopped
½ tsp chaat masala
1 tsp lemon juice
1 small onion, finely chopped
1 tomato, finely chopped
1 tsp garam masala powder"
58,Cauliflower pizza,"Each 758g serving contains (excludes serving suggestion)
KCal
340
Carbs
27.1g
Fibre
11.4g
Protein
23.6g
Fat
12.7g
Saturates
4.7g
Sugars
21.0g
Salt
0.5g
Fruit/Veg Portion
7
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 cauliflower
1 tsp rapeseed oil
75g red onion, thinly sliced
150g red pepper, thinly sliced
150g courgette, diced
2 fresh tomatoes, chopped
2 cloves garlic, crushed
1 heaped tsp dried oregano
1 egg, beaten
15g Parmesan, finely grated
50g reduced-fat mozzarella, thinly sliced
6-8 fresh basil leaves, torn
half tsp chilli flakes (optional)"
59,Cauliflower pilaf,"Each 241g serving contains (excludes serving suggestion)
KCal
151
Carbs
14.9g
Fibre
6.6g
Protein
7.4g
Fat
5.3g
Saturates
0.6g
Sugars
10.8g
Salt
0.04g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 medium cauliflower, 750g when prepared
2 tsp rapeseed oil
4 spring onions, finely chopped
1 clove garlic, crushed
1 red pepper, chopped
2 tsp ground cumin
good pinch white pepper
75g frozen peas
25g sultanas
1 tbsp coriander, finely chopped
1 tbsp toasted flaked almonds"
60,Cauliflower and leek soup,"Each 348g serving contains (excludes serving suggestion)
KCal
154
Carbs
18.1g
Fibre
7.7g
Protein
9.1g
Fat
3.3g
Saturates
0.4g
Sugars
10.0g
Salt
0.17g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil + 1 tsp to oil baking sheet
1 cauliflower (800g), in florets
1 heaped tsp turmeric
1 large onion, chopped
2 leeks, sliced
1 tsp ground cumin
2 cloves garlic, crushed
good pinch white pepper
1 low-salt vegetable stock cube in 600ml water
1 x 400g can butterbeans, drained (240g)
300ml skimmed milk
Black pepper to taste"
61,Carrot kugel,"Each 196g serving contains (excludes serving suggestion)
KCal
164
Carbs
9.1g
Fibre
4.4g
Protein
9.3g
Fat
9.1g
Saturates
3.7g
Sugars
8.2g
Salt
0.65g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 eggs
1 clove garlic, crushed
1 tsp Dijon mustard
50g reduced-fat cream cheese
50g reduced-fat mature cheddar, finely grated
good pinch white pepper
500g carrots
50g onion, grated
2 tsp sunflower oil"
62,"Carrot, cumin & coriander salad","Each 103g serving contains (excludes serving suggestion)
KCal
53
Carbs
5.8g
Fibre
3.1g
Protein
1.0g
Fat
2.2g
Saturates
0.3g
Sugars
5.2g
Salt
0.09g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 heaped tsp cumin seeds
2 tsp lemon juice
2 tsp extra-virgin olive oil
half red onion, very thinly sliced
good grind fresh black pepper
2–3 carrots (300g)
fresh coriander leaves, to serve"
63,Carrot cake,"Each 76g serving contains (excludes serving suggestion)
KCal
141
Carbs
16.2g
Fibre
2.6g
Protein
5.8g
Fat
5.2g
Saturates
0.6g
Sugars
4.8g
Salt
0.2g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g wholemeal flour
1 tsp baking powder
2 tsp mixed spice
3 eggs, beaten
1 banana, mashed
3 tbsp granulated sweetener
50ml rapeseed oil + 2 tsp to oil the tin
50g sultanas
400g carrots
For the topping:
250g fat-free quark (cream cheese)
1 tbsp granulated sweetener
zest 1 orange
20g walnut pieces"
64,Carrot and swede mash,"Each 119g serving contains (excludes serving suggestion)
KCal
59
Carbs
6.6g
Fibre
3.3g
Protein
0.9g
Fat
2.5g
Saturates
0.4g
Sugars
6.2g
Salt
0.22g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
450g carrots, peeled and chopped
450g swede, peeled and chopped
25g vegetable oil spread
2 tbsp creamed horseradish
freshly ground black pepper"
65,"Caramelised onion, red pepper and courgette soda bread","Each 161g serving contains (excludes serving suggestion)
KCal
230
Carbs
36.6g
Fibre
6.4g
Protein
8.2g
Fat
4.3g
Saturates
1.2g
Sugars
3.2g
Salt
0.22g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 tsp rapeseed oil
2 red onions (240g), finely sliced
2 red peppers (260g), thinly sliced
1 courgette (180g), finely diced
4 cloves garlic, crushed
15g sundried tomato, chopped small
25g fresh basil, chopped
1 tsp dried oregano
2 good pinches black pepper
600g wholemeal flour
1 tsp baking powder
50g cheddar cheese, finely diced
2 heaped tbsp 0% yogurt
500ml water"
66,Caramelised onion moutabal,"Each 257g serving contains (excludes serving suggestion)
KCal
93
Carbs
8.6g
Fibre
5.9g
Protein
3.2g
Fat
3.8g
Saturates
0.5g
Sugars
7.3g
Salt
0.03g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 aubergines (550g)
2 tsp rapeseed oil
3 onions (200g), finely chopped
2 tsp Tahini (sesame paste)
juice half lemon
1 clove garlic, crushed
1 tbsp low-fat yogurt
15g fresh coriander, chopped
12-14 little gem lettuce leaves
12 cherry tomatoes
1 small red chilli, sliced"
67,Caramelised leek quiche,"Each 150g serving contains (excludes serving suggestion)
KCal
191
Carbs
13.9g
Fibre
3.1g
Protein
9.3g
Fat
10.3g
Saturates
2.6g
Sugars
2.6g
Salt
0.42g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
2-3 leeks, chopped (320g once trimmed)
5 squirts spray oil
2 sheets filo pastry, cut into 4 squares (80g)
2 eggs, beaten
2 tbsp 0% fat Greek yogurt
good grind black pepper, plus grind to serve
30g goat’s cheese
1 tbsp chopped chives"
68,Caponata,"Each 392g serving contains (includes serving suggestion)
KCal
136
Carbs
15.1g
Fibre
7.0g
Protein
4.9g
Fat
4.7g
Saturates
0.6g
Sugars
13.3g
Salt
0.06g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
half tbsp olive oil
3 red onions, chopped
2 sticks celery, chopped
2 courgettes
3–4 aubergines, cubed
4 cloves garlic, crushed
1 x 400g tin tomatoes
1 tsp capers
1 tbsp white wine vinegar
1 tbsp tomato purée
20g sultanas
150ml water
good grind black pepper
25g basil, torn
1 tbsp pine nuts
For the courgetti spaghetti:
2 courgettes
2 tsp olive oil"
69,Callaloo (crab and spinach soup),"Each 584g serving contains (excludes serving suggestion)
KCal
118
Carbs
6.0g
Fibre
5.2g
Protein
13.9g
Fat
3.1g
Saturates
1.6g
Sugars
4.8g
Salt
1.55g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 chicken stock cube dissolved in 1.2L water
1 small onion, finely chopped
1 clove garlic, crushed
3 spring onions, sliced
pinch dried thyme
250g fresh spinach, roughly chopped
2 x 170g tin crab, drained (equivalent weight – approx. 250g fresh crab)
6 tbsp coconut milk
200g okra
freshly ground black pepper
few drops Tabasco"
70,Butternut squash and borlotti bean stew,"Each 454g serving contains (excludes serving suggestion)
KCal
242
Carbs
31.0g
Fibre
22.3g
Protein
13.4g
Fat
2.2g
Saturates
0.4g
Sugars
14.4g
Salt
0.6g
Fruit/Veg Portion
5
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
2 red onions, chopped
1 medium butternut squash, deseeded, peeled and cubed
1 green pepper, chopped
1 vegetable stock cube dissolved in 500ml water
2 x 400g cans tomatoes
50g dried red lentils
1 heaped tsp dried oregano
good pinch chilli flakes
4 cloves garlic, crushed
2 x 400g cans borlotti beans, drained
good grind black pepper
1 tbsp chopped parsley, to garnish"
71,Caesar salad with chargrilled chicken,"Each 142g serving contains (excludes serving suggestion)
KCal
218
Carbs
14.7g
Fibre
1.1g
Protein
23.0g
Fat
7.2g
Saturates
1.9g
Sugars
1.9g
Salt
0.6g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the dressing:
20g Parmesan cheese, finely grated
2 tbsp low-fat yogurt
1 tbsp extra-virgin olive oil
1 tsp Dijon mustard
juice quarter lemon
1 tsp Worcestershire sauce
pinch white pepper
For the salad:
80g little gem lettuce
2 skinless, boneless chicken breasts
1 tsp olive oil
For the croutons:
1 clove garlic, crushed
1 tsp olive oil
pinch black pepper
100g baguette/ciabatta, cubed"
72,Butterbean pâté,"Each 207g serving contains (excludes serving suggestion)
KCal
121
Carbs
13.9g
Fibre
6.8g
Protein
5.0g
Fat
3.5g
Saturates
0.5g
Sugars
6.7g
Salt
0.06g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 x 400g can butterbeans, drained (240g)
4 spring onions, finely chopped (50g)
6cm cucumber, very finely diced (80g)
2 tbsp low-fat natural yogurt
1 clove garlic, crushed
1 tbsp extra-virgin olive oil
juice and zest of half lemon
3 sprigs of fresh mint, chopped
good pinch of pepper
pinch paprika
4 cherry tomatoes
1 stick celery, cut into batons
half bulb fennel, cut into batons
1 large carrot, cut into batons
1 yellow pepper, cut into batons
mixed crudites"
73,"Butterbean, parsley and thyme stuffed mushrooms","Each 48g serving contains (excludes serving suggestion)
KCal
27
Carbs
2.1g
Fibre
1.2g
Protein
2.0g
Fat
0.9g
Saturates
0.4g
Sugars
0.5g
Salt
0.05g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 x 500g pack mushrooms (12–18, depending on size)
1 tsp rapseed oil
4 cloves garlic, crushed
6 spring onions, finely chopped
1 x 400g can butterbeans, drained and mashed (235g)
15g parsley, finely chopped
1 tsp wholegrain mustard
1 tsp dried thyme
good pinch pepper
30g cheddar cheese, finely grated"
74,Burritos,"Each 300g serving contains (excludes serving suggestion)
KCal
351
Carbs
37.5g
Fibre
8.3g
Protein
26.1g
Fat
8.9g
Saturates
3.5g
Sugars
6.5g
Salt
0.95g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
dash sunflower oil
1 large onion, finely chopped
500g turkey mince
1 red pepper, finely chopped
1 green pepper, finely chopped
1 heaped tsp ground cumin
1 heaped tsp dried oregano
1 level tsp chilli powder
400g tin chopped tomatoes
400g tin mixed beans, drained
8 wholemeal tortilla wraps (65g each)
200g mixed salad leaves
50g reduced-fat Cheddar cheese, grated"
75,Bubble and squeak,"Each 382g serving contains (excludes serving suggestion)
KCal
328
Carbs
36.8g
Fibre
8.8g
Protein
13.0g
Fat
12.2g
Saturates
3.1g
Sugars
11.0g
Salt
0.45g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
350g potatoes, cubed
1 large parsnip, peeled and cubed
4 tbsp milk
25g vegetable oil-based spread
1 tsp rapeseed oil
1 small onion, chopped
1 large carrot, peeled and grated
100g green cabbage, finely shredded
3 medium eggs
freshly ground black pepper"
76,Brussels sprout gratin,"Each 209g serving contains (excludes serving suggestion)
KCal
156
Carbs
13.8g
Fibre
5.4g
Protein
10.3g
Fat
5.5g
Saturates
2.5g
Sugars
8.1g
Salt
0.4g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp olive oil
1 onion, chopped
1 tbsp plain flour
good pinch white pepper
1 tsp wholegrain mustard
300ml skimmed milk
30g reduced-fat mature Cheddar
20g Parmesan
300g Brussels sprouts
1 tbsp wholemeal breadcrumbs"
77,Brussels and hash with poached egg,"Each 362g serving contains (excludes serving suggestion)
KCal
295
Carbs
33.0g
Fibre
11.3g
Protein
14.4g
Fat
9.1g
Saturates
2.2g
Sugars
11.1g
Salt
0.3g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g potatoes
300g sweet potatoes
500g Brussels sprouts, trimmed
large pinch white pepper
2 tsp olive oil
1 large onion, finely chopped
4 eggs, poached"
78,Breakfast crostini,"Each 217g serving contains (excludes serving suggestion)
KCal
297
Carbs
32.6g
Fibre
6.7g
Protein
20.0g
Fat
8.1g
Saturates
3.1g
Sugars
4.5g
Salt
1.34g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 x 300g wholemeal baguette, cut into 16 slices (approx. 1.5cm thick)
8 cherry tomatoes, sliced
1 red pepper, thinly sliced
4 mushrooms, sliced
1 slice lean ham, cut into strips
70g cooked spinach, water squeezed out
2 spring onions, finely sliced
2 eggs, scrambled
75g reduced-fat mature Cheddar, finely grated"
79,Breakfast burritos,"Each 220g serving contains (excludes serving suggestion)
KCal
354
Carbs
38.3g
Fibre
7.2g
Protein
16.5g
Fat
13.3g
Saturates
5.3g
Sugars
3.5g
Salt
0.9g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
8 wholemeal tortillas
chilli sauce and seasoning (optional)
Cold fillings:
2 large tomatoes, chopped
1 red pepper, sliced
4 spring onions, chopped
100g cooked spinach or frozen defrosted, drained
1 avocado, peeled and sliced
80g Cheddar, grated
Warm fillings:
1 x 400g tin beans, drained
4 scrambled eggs"
80,Bread sauce,"Each 92g serving contains (excludes serving suggestion)
KCal
90
Carbs
9.5g
Fibre
1.1g
Protein
4.1g
Fat
3.7g
Saturates
1.9g
Sugars
3.7g
Salt
0.3g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 medium onion, peeled
10 cloves
600ml whole milk
1 bay leaf
8 peppercorns
10g vegetable oil spread
125g fresh wholemeal breadcrumbs"
81,Braised pork with mushrooms and butterbeans,"Each 203g serving contains (excludes serving suggestion)
KCal
185
Carbs
10.3g
Fibre
4.6g
Protein
22.5g
Fat
5.2g
Saturates
1.3g
Sugars
3.3g
Salt
0.3g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
500g lean pork, cubed
1 large onion, thinly sliced
2 cloves garlic, crushed
1 leek, thinly sliced
10g plain flour
150g mushrooms, sliced
2 tsp Dijon mustard
1 low-salt vegetable stock cube, dissolved in 400ml water
1 x 400g tin butterbeans, drained"
82,Braised mustard pork and vegetables,"Each 557g serving contains (excludes serving suggestion)
KCal
206
Carbs
11.3g
Fibre
11.6g
Protein
22.9g
Fat
5.1g
Saturates
1.2g
Sugars
9.5g
Salt
0.4g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g Savoy cabbage, cut into wedges
8 baby leeks, trimmed
1 bulb fennel, cut into wedges
half tsp sage or thyme
good pinch pepper
1 low-salt vegetable stock cube, dissolved in 400ml boiling water
1 tsp rapeseed oil
4 lean pork steaks (300g)
3 tsp Dijon mustard"
83,"Braised cod with peas, spring onions and carrots","Each 558g serving contains (excludes serving suggestion)
KCal
288
Carbs
22.9g
Fibre
9.6g
Protein
35.5g
Fat
3.9g
Saturates
1.1g
Sugars
11.1g
Salt
0.7g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g baby Chantenay carrots, halved lengthways
1 low-salt fish stock cube
200g frozen peas
6 spring onions, cut into 2cm slices
15g fresh dill
2 cod steaks (approx 300g)
1 tsp cornflour dissolved in 1 tbsp water
20g lightest cream cheese
black pepper
2 lemon wedges"
84,Boxing day bites with cranberry sauce,"Each 29g serving contains (excludes serving suggestion)
KCal
21
Carbs
1.2g
Fibre
0.4g
Protein
2.9g
Fat
0.5g
Saturates
0.1g
Sugars
1.2g
Salt
0.03g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp 0% fat Greek yogurt
4-5 spring onions (80g), finely chopped
1 red pepper (160g), finely chopped
1 tsp curry paste
150g cooked turkey, chopped
18 little gem lettuce leaves
3 tsp cranberry sauce
10g chives, chopped"
85,Bouillabaisse,"Each 500g serving contains (excludes serving suggestion)
KCal
280
Carbs
20.0g
Fibre
6.7g
Protein
31.5g
Fat
6.7g
Saturates
0.6g
Sugars
8.8g
Salt
1.5g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 sweet potato, peeled and cubed (200g)
1 carrot, diced small (100g)
1 fish stock cube, dissolved in 600 ml water
half bulb fennel, sliced (175g)
1 yellow pepper, sliced (140g)
1 leek, chopped (150g)
tiny pinch turmeric (for colour, cheaper than traditional saffron)
good pinch white pepper
2 cloves garlic, crushed
2 tsp sunflower oil
4 x bream fillets (90g each), cut in half to give 8 pieces
150g pack cooked, peeled king prawns
150g pack cooked, chilled mussel meat
2 large tomatoes, skinned, seeds removed and chopped small (100g flesh)
1 tbsp finely chopped parsley
good grind black pepper"
86,Blueberry and lemon cheesecake,"Each 172g serving contains (excludes serving suggestion)
KCal
190
Carbs
23.7g
Fibre
3.8g
Protein
9.5g
Fat
5.5g
Saturates
2.0g
Sugars
13.7g
Salt
0.75g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
zest half lemon, finely grated
1 tsp lemon juice
1 level tsp lemon curd
1 heaped tbsp fat-free cream cheese (approx. 60g)
80g blueberries
2 rough oatcakes, crushed"
87,Blackcurrant and raspberry ice cream,"Each 282g serving contains (excludes serving suggestion)
KCal
185
Carbs
17.5g
Fibre
4.6g
Protein
8.0g
Fat
8.2g
Saturates
2.0g
Sugars
13.7g
Salt
0.03g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
600ml unsweetened soya milk
few drops vanilla extract
1 tbsp cornflour
4 egg yolks
2 tbsp icing sugar
300g can blackcurrants in fruit juice, drained
200g frozen raspberries"
88,Bleeding heart Halloween cake,"Each 94g serving contains (excludes serving suggestion)
KCal
153
Carbs
16.4g
Fibre
2.5g
Protein
6.4g
Fat
6.3g
Saturates
0.9g
Sugars
3.9g
Salt
0.23g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g wholemeal flour
200g plain flour
600g cooked beetroot (in water), blended until smooth
2 tsp baking powder
20g cocoa powder
6 eggs, separated and whites beaten (until peaks form)
2 tsp vanilla extract
5 tbsp granulated sweetener + 1 tbsp for the frosting
100ml rapeseed oil
1 x 250g pack fat-free quark
1 tbsp chopped pistachio nuts
500g frozen mixed berries, defrosted and roughly mashed
1 plastic eyeball (optional!)"
89,Blackberry upside down puddings,"Each 139g serving contains (excludes serving suggestion)
KCal
228
Carbs
33.9g
Fibre
2.2g
Protein
6.6g
Fat
6.9g
Saturates
1.7g
Sugars
16.6g
Salt
0.47g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g blackberries
5 sprays low-fat cooking spray
60g soft polyunsaturated spread
60g caster sugar
2 medium eggs
120g white self-raising flour
270g low-fat ready-made custard, to serve"
90,Blackberry and apple cake,"Each 73g serving contains (excludes serving suggestion)
KCal
153
Carbs
17.7g
Fibre
2.0g
Protein
3.1g
Fat
7.4g
Saturates
0.7g
Sugars
9.4g
Salt
0.14g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 apples
2 medium eggs
1 tsp vanilla extract
75g caster sugar
100ml rapeseed oil (use 1 tsp for greasing)
150g wholemeal flour
1 tsp baking powder
150g blackberries"
91,"Black eyed bean, feta and herb burgers","Each 158g serving contains (includes serving suggestion)
KCal
269
Carbs
34.7g
Fibre
5.4g
Protein
13.5g
Fat
7.3g
Saturates
3.2g
Sugars
3.5g
Salt
1.04g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp olive oil
3 spring onions, finely sliced
400g tin black-eyed beans, drained and rinsed
75g granary breadcrumbs
100g feta cheese, crumbled
2 tbsp mixed fresh herbs, chopped
1 egg, beaten
wholemeal rolls, to serve (4 x 70g)
salad, red onions and tomato"
92,Bircher muesli,"Each 330g serving contains (excludes serving suggestion)
KCal
275
Carbs
39.6g
Fibre
4.8g
Protein
9.0g
Fat
7.9g
Saturates
1.2g
Sugars
19.0g
Salt
0.09g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
30g rolled oats
1 tsp granulated sweetener (optional)
50ml water
50ml skimmed milk
1 apple, unpeeled and grated
1 tbsp low-fat plain yogurt
10g chopped pistachio nuts
2 strawberries"
