Unnamed: 0,receipe,nutricional,ingredients
10,"Parma ham, beetroot & mozzarella salad","['Each 295g serving contains (excludes serving suggestion)', 'KCal', '237', 'Carbs', '24.0g', 'Fibre', '3.7g', 'Protein', '17.0g', 'Fat', '9.3g', 'Saturates', '3.3g', 'Sugars', '9.8g', 'Salt', '1.6g', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
4 slices Parma ham
250g asparagus tips
100g sourdough, torn into chunks
1tbsp olive oil
1/2tbsp lemon juice
11/2tsp Dijon mustard
180g baby leaf salad
Small handful fresh mint leaves
300g cooked beetroot (not in vinegar), cut into wedges
100g light mozzarella, torn"
11,Blueberry and avocado creamsicles,"['Each 78g serving contains (excludes serving suggestion)', 'KCal', '85', 'Carbs', '9.7g', 'Fibre', '1.7g', 'Protein', '1.8g', 'Fat', '4.0g', 'Saturates', '0.9g', 'Sugars', '9.4g', 'Salt', '0.04g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 small avocados (200g), stones removed and flesh scooped out
200g frozen blueberries
10 soft dates, pitted
250ml skimmed milk (or milk of your choice)
2tbsp lime juice"
12,Vegetarian lasagne,"['Each 409g serving contains (excludes serving suggestion)', 'KCal', '357', 'Carbs', '45.1g', 'Fibre', '10.0g', 'Protein', '14.5g', 'Fat', '11.0g', 'Saturates', '5.6g', 'Sugars', '15.4g', 'Salt', '0.34g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1tbsp olive oil
2 medium-sized onions, peeled and finely chopped
3 garlic cloves, peeled and finely chopped
2tbsp tomato purée
2tbsp baby capers
3 x 400g tins chopped tomatoes
250g white cabbage
2 handfuls of fresh basil, leaves picked and roughly chopped
75g cooked puy lentils
250g half-fat crème fraiche
250g wholegrain lasagne sheets
50g grated half-fat cheddar cheese"
13,Spicy vegetable samosas,"['Each 259g serving contains (excludes serving suggestion)', 'KCal', '205', 'Carbs', '37.2g', 'Fibre', '4.2g', 'Protein', '4.4g', 'Fat', '3.4g', 'Saturates', '0.9g', 'Sugars', '9.5g', 'Salt', '0.33g', 'Fruit/Veg Portion', '2', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
6 mini wholemeal tortilla wraps (approx. 30g each), halved
Spray oil
2tsp cumin seeds
2 onions, finely chopped
2 cloves of garlic, crushed
1 tbsp fresh ginger, grated
1 large sweet potato (approx. 300g), cut into small cubes
750g frozen mixed vegetables
Pinch each of garam masala, turmeric and sesame seeds
Pinch of chilli flakes
Squeeze of lemon juice
1 tbsp fresh coriander, chopped
Plain flour and water, mixed to a glue-like paste"
14,Super soba noodles,"['Each 509g serving contains (excludes serving suggestion)', 'KCal', '400', 'Carbs', '55.7g', 'Fibre', '11.5g', 'Protein', '22.9g', 'Fat', '7.0g', 'Saturates', '1.2g', 'Sugars', '15.0g', 'Salt', '1.16g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
250g soba noodles
320g tofu
Spray oil of your choice (optional)
1 bunch spring onions, cut into pieces
250g mixed mushrooms, sliced
2 mixed peppers (green, red or yellow), sliced lengthways
150g mange tout, sliced lengthways
1 onion, sliced
1/2 shredded cabbage
1tbsp fresh ginger, grated
1 clove of garlic, crushed
Pinch of Chinese five spice
1tsp reduced salt soy sauce
1tbsp ketchup
Pinch chilli flakes (optional)
1tbsp fresh coriander, chopped"
15,Slow-cooked bean chilli,"['Each 500g serving contains (excludes serving suggestion)', 'KCal', '330', 'Carbs', '38.3g', 'Fibre', '18.1g', 'Protein', '24.2g', 'Fat', '4.9g', 'Saturates', '0.7g', 'Sugars', '15.0g', 'Salt', '0.36g', 'Fruit/Veg Portion', '5', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
spray oil of your choice (optional)
2 medium onions, chopped
1 tsp crushed garlic
1/2 tsp ground ginger
300g mixed mushrooms
1-2 peppers (green, red or yellow), chopped
300g Quorn mince
1tbsp balsamic vinegar
80g carrots, cubed
400g can chopped tomatoes
400g can chickpeas in water, drained
400g can kidney beans in water, drained
2 tsp tomato purée
700ml very low-salt vegetable stock
Pinch chilli flakes"
16,Golden Soup,"['Each 290g serving contains (excludes serving suggestion)', 'KCal', '63', 'Carbs', '9.5g', 'Fibre', '3.7g', 'Protein', '2.5g', 'Fat', '0.8g', 'Saturates', '0.1g', 'Sugars', '7.8g', 'Salt', '0.09g', 'Fruit/Veg Portion', '2', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1 red onion
1 white onion
1 red pepper
2 yellow/orange peppers
2 large or 4 small courgettes
2 tomatoes
pinch dry, mixed herbs
1 heaped tsp nutritional yeast
spray oil (optional)
1 low-salt stock cube (optional)
500ml boiling water"
17,Blueberry yogurt cake with muesli base,"['Each 120g serving contains (excludes serving suggestion)', 'KCal', '148', 'Carbs', '14.6g', 'Fibre', '1.8g', 'Protein', '8.6g', 'Fat', '5.7g', 'Saturates', '1.3g', 'Sugars', '6.0g', 'Salt', '0.21g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
For the base: 150 g/5 oz rolled oats
1 tbsp wholemeal flour
1 tbsp granulated sweetener
4 tbsp sunflower oil
For the yogurt and blueberry topping: 450 g/16 oz blueberries
1/2 lemon, juiced
3 tbsp granulated sweetener
500 g/18 oz 0% fat Greek yogurt
250 g/9 oz 3% fat cream cheese, e. g. Philadelphia lightest soft cheese"
18,Grilled Mediterranean peppers,"['Each 186g serving contains (excludes serving suggestion)', 'KCal', '58', 'Carbs', '7.3g', 'Fibre', '3.4g', 'Protein', '2.0g', 'Fat', '1.6g', 'Saturates', '0.3g', 'Sugars', '6.7g', 'Salt', '0.01g', 'Fruit/Veg Portion', '2', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
3 large red peppers
450 g/16 oz mixed cherry tomatoes, e. g. gold, yellow, and red, halved
1 shallot, finely chopped
4 garlic cloves, finely sliced
2 tbsp basil leaves, finely chopped, plus extra to garnish
2 tsp olive oil
Freshly ground black pepper"
19,"Chicken, squash and coriander pilaf","['Each 400g serving contains (excludes serving suggestion)', 'KCal', '404', 'Carbs', '47.7g', 'Fibre', '3.6g', 'Protein', '32.3g', 'Fat', '8.5g', 'Saturates', '1.1g', 'Sugars', '1.5g', 'Salt', '0.19g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 tsp sunflower oil
250 g/9 oz wholegrain rice, rinsed in several changes of water, then drained
2 tsp mild curry powder
1 tsp ground cumin
1 tsp ground coriander
1/2 tsp ground turmeric
750 ml/26 fl oz water
1 yellow or green courgette, thinly sliced
2 large skinless chicken breasts (400g), trimmed of excess fat
2 tbsp flaked almonds
1/2 lemon, juiced
1 handful coriander leaves
Freshly ground black pepper"
