Unnamed: 0,receipe,nutricional,ingredients
63,Szechuan chicken,"Each 123g serving contains (excludes serving suggestion)
KCal
198
Carbs
2.5g
Fibre
1.4g
Protein
30.1g
Fat
7.2g
Saturates
1.2g
Sugars
1.8g
Salt
0.19g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp Szechuan/Sichuan pepper
juice half lemon
2 tsp rapeseed oil
350g chicken breast, cut into strips
1 small red chilli, sliced into rings
4cm fresh ginger, finely chopped
2 garlic cloves, sliced
3 spring onions, cut into pieces
1 heaped tsp Chinese five-spice powder
20g sesame seeds
1 tbsp tomato puree"
64,Sweet potato pudding cake,"Each 176g serving contains (excludes serving suggestion)
KCal
249
Carbs
41.8g
Fibre
3.8g
Protein
5.7g
Fat
5.7g
Saturates
2.5g
Sugars
24.7g
Salt
0.61g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
900g sweet potatoes, peeled and chopped
25g butter
100g soft dark-brown sugar
grated zest and juice 1 lime
4 eggs
4 tbsp skimmed milk
half tsp ground cinnamon
half tsp ground nutmeg
2 tsp baking powder
75g raisins"
65,Sweet potato crab cakes with green chilli dip,"Each 29g serving contains (excludes serving suggestion)
KCal
27
Carbs
2.6g
Fibre
0.4g
Protein
2.2g
Fat
0.8g
Saturates
0.1g
Sugars
0.8g
Salt
0.09g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g sweet potato, boiled and mashed
1 tbsp flour (plus a little for dusting)
1 egg, beaten
good pinch pepper
20g fresh dill, chopped
3 spring onions, finely chopped
200g cooked crab meat, dark and brown
grated zest 1 lemon (plus wedges to serve)
2 tsp rapeseed oil
For the salsa:
2 tomatoes, roughly chopped
1 heaped tbsp tomato puree
1 green chilli, de-seeded and very finely chopped"
66,Sweet potato latkes with apple sauce,"Each 76g serving contains (excludes serving suggestion)
KCal
68
Carbs
11.9g
Fibre
1.7g
Protein
1.6g
Fat
1.2g
Saturates
0.2g
Sugars
4.2g
Salt
0.05g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 large sweet potato (approx. 350g), peeled
1 small onion, finely chopped
1 egg, beaten
good pinch of pepper
50g plain flour
For the sauce:
2 apples, peeled, cored and chopped
3 tbsp water
2 tsp rapeseed oil, to fry"
67,Sweet pepper pancakes with tangy tomato relish,"Each 44g serving contains (excludes serving suggestion)
KCal
39
Carbs
4.6g
Fibre
1.0g
Protein
1.8g
Fat
1.3g
Saturates
0.5g
Sugars
1.2g
Salt
0.05g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 yellow pepper, thinly sliced in 2-3cm lengths
1 red pepper, thinly sliced in 2-3cm lengths
1 onion, finely chopped
2 eggs, beaten
200ml water
2 tbsp low-fat yogurt
50g grated Cheddar cheese
150g wholemeal flour
good pinch pepper
For the relish:
10g fresh parsley
juice and zest 1 lime
4 large vine tomatoes, finely chopped
1-2 small red chilies, finely chopped"
68,Sweet and sour meatballs with veggie rice,"Each 395g serving contains (excludes serving suggestion)
KCal
351
Carbs
57.8g
Fibre
4.3g
Protein
20.3g
Fat
3.3g
Saturates
0.5g
Sugars
10.8g
Salt
0.19g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
75g turkey breast mince
half small onion, finely chopped
4 ready-to-eat dried apricots, finely chopped
half tbsp fresh parsley, chopped
1 tbsp fresh breadcrumbs
a little beaten egg
For the rice:
100g basmati rice
1 tbsp frozen sweetcorn
1 tbsp frozen peas
half small red or orange pepper, chopped
For the sauce:
1 tsp rapeseed oil
half small onion, finely chopped
half small red or orange pepper, chopped
200g tin chopped tomatoes
1 tsp red wine vinegar"
69,Sweet potato soup,"Each 385g serving contains (excludes serving suggestion)
KCal
294
Carbs
55.9g
Fibre
11.0g
Protein
4.1g
Fat
3.5g
Saturates
0.4g
Sugars
19.6g
Salt
0.51g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 onion, chopped
2 cloves garlic, crushed
1 small carrot, chopped
450g sweet potato, peeled and chopped
450ml low-salt vegetable stock
2 tbsp fresh parsley, chopped
freshly ground black pepper"
70,Sweet and sour pork,"Each 354g serving contains (excludes serving suggestion)
KCal
234
Carbs
21.8g
Fibre
6.7g
Protein
21.9g
Fat
5.1g
Saturates
1.5g
Sugars
16.9g
Salt
0.37g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 clove garlic, crushed (optional)
1 tsp fresh ginger, finely chopped (optional)
150g lean pork, sliced
1 red pepper, sliced
1 green pepper, sliced
3 bok choi, roughly chopped
3 spring onions, sliced
110g tin water chestnuts, drained and sliced
For the sauce:
1 tbsp soft light brown sugar
1 tbsp white wine vinegar
100ml chicken stock
1 tsp tomato purée
1 tsp cornflour"
71,Summer berry posset,"Each 159g serving contains (excludes serving suggestion)
KCal
113
Carbs
12.3g
Fibre
1.4g
Protein
4.8g
Fat
4.6g
Saturates
3.1g
Sugars
11.8g
Salt
0.15g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g raspberries
100g blueberries, saving 4 berries to top
2 tbsp reduced-sugar strawberry jam
300g low-fat natural yogurt
100g half-fat crème fraiche"
72,Summer berry crush,"Each 212g serving contains (excludes serving suggestion)
KCal
137
Carbs
16.0g
Fibre
3.1g
Protein
10.1g
Fat
3.0g
Saturates
0.5g
Sugars
9.9g
Salt
0.1g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g frozen mixed summer berries, defrosted
200g carton virtually fat-free fromage frais
Sugar free sweetener to taste
25g amaretti biscuits, lightly crushed"
73,Summer vegetables with citrus dressing,"Each 150g serving contains (excludes serving suggestion)
KCal
102
Carbs
8.0g
Fibre
6.3g
Protein
6.4g
Fat
3.5g
Saturates
0.6g
Sugars
2.9g
Salt
0.02g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g fine beans, halved
3 baby courgettes/1 medium courgette, cut into chunks
150g broad beans, (shelled and skinned weight, or use frozen)
100g fresh/frozen peas
3 spring onions, sliced
2 tbsp coriander, chopped
1 tbsp pumpkin seeds, toasted
1 tsp olive oil
grated zest and juice 1 lime"
74,Summerberry smoothie,"Each 300g serving contains (excludes serving suggestion)
KCal
100
Carbs
14.4g
Fibre
2.6g
Protein
7.8g
Fat
0.6g
Saturates
0.2g
Sugars
14.4g
Salt
0.3g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
50g frozen raspberries
50g frozen strawberries
200ml skimmed milk
sugar-free and calorie-free sweetener, to taste"
75,Stuffed celery bites,"Each 21g serving contains (excludes serving suggestion)
KCal
15
Carbs
0.5g
Fibre
0.2g
Protein
1.3g
Fat
0.9g
Saturates
0.2g
Sugars
0.4g
Salt
0.15g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
3-4 sticks celery, cut into 14 x 5cm long pieces
100g reduced-fat cottage cheese
Topping for the tomato and basil bites:
15g sundried tomatoes, finely chopped
1 tbsp chopped fresh basil
pinch white pepper
pinch paprika pepper
Topping for the Parma ham and spring onion bites:
1 slice Parma ham, finely chopped
1 spring onion, finely chopped
pinch white pepper"
76,Stuffed parathas,"Each 40g serving contains (excludes serving suggestion)
KCal
78
Carbs
13.7g
Fibre
2.3g
Protein
2.8g
Fat
0.8g
Saturates
0.1g
Sugars
1.9g
Salt
0.07g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the filling:
1 large sweet potato (approx. 350g), peeled and quartered
4 spring onions, chopped
1 tsp ground turmeric
1 tsp ground cumin
1 tsp ground coriander
2 cloves garlic, crushed
½ red chilli, finely chopped
25g fresh coriander, chopped
50g frozen peas, defrosted
For the dough:
200g wholemeal flour
½ tsp baking powder
100g 0% fat yogurt
125ml water
2 tsp rapeseed oil"
77,Stuffed baked apples,"Each 126g serving contains (excludes serving suggestion)
KCal
122
Carbs
16.9g
Fibre
2.4g
Protein
2.6g
Fat
4.3g
Saturates
0.6g
Sugars
16.4g
Salt
0.01g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
20g walnuts
30g dried apricots
25g sultanas
1 tsp ground cinnamon
20g pumpkin seeds
finely-grated zest and juice 1 orange
6 eating apples, unpeeled and cored)
1 tbsp water"
78,Stuffed baby peppers,"Each 35g serving contains (excludes serving suggestion)
KCal
23
Carbs
2.6g
Fibre
0.6g
Protein
1.3g
Fat
0.8g
Saturates
0.3g
Sugars
1.4g
Salt
0.03g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
50g quinoa
1 clove garlic, crushed
10g raisins, roughly chopped
1 tsp ground cumin
1 spring onion, finely chopped
1 tbsp tomato puree
juice half lemon
1 tsp oil
10 mixed baby peppers
5 cherry tomatoes, quartered
75g reduced-fat mozzarella, sliced into 10 pieces
1 tsp chopped chives, to garnish
good grind black pepper"
79,Strawberry tart,"Each 105g serving contains (excludes serving suggestion)
KCal
136
Carbs
22.9g
Fibre
3.1g
Protein
3.7g
Fat
2.6g
Saturates
1.0g
Sugars
8.4g
Salt
0.25g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 sheets filo pastry
2 tsp unsalted butter, melted
1 tbsp icing sugar
6 tbsp fat-free fromage frais
1 tbsp lemon curd
350g small ripe strawberries, hulled and sliced"
80,"Stir-fried kale with chilli, ginger and garlic","Each 83g serving contains (excludes serving suggestion)
KCal
38
Carbs
1.3g
Fibre
2.2g
Protein
1.9g
Fat
2.3g
Saturates
0.2g
Sugars
0.9g
Salt
0.06g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
3cm fresh ginger root, peeled and finely chopped
2-3 cloves garlic, crushed
pinch chilli flakes
200g curly kale, chopped (thick stalks removed)
4 tbsp water
juice half lemon"
81,Sticky lemon polenta cake,"Each 47g serving contains (excludes serving suggestion)
KCal
118
Carbs
10.9g
Fibre
0.4g
Protein
3.1g
Fat
6.8g
Saturates
0.7g
Sugars
1.9g
Salt
0.4g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp lemon extract
juice and finely grated zest 1 lemon
3 tbsp granulated sweetener
2 eggs, beaten
50ml rapeseed oil (and 1 tsp to oil a 1lb loaf tin)
50ml water
100g instant polenta
1 tsp bicarbonate of soda
For the drizzle:
juice and finely grated zest 1 lemon
1 tbsp granulated sweetener
1 dessertspoon honey"
82,Steak with mushroom sauce,"Each 379g serving contains (excludes serving suggestion)
KCal
262
Carbs
8.8g
Fibre
2.5g
Protein
36.6g
Fat
8.3g
Saturates
2.7g
Sugars
5.0g
Salt
0.32g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
2 lean rump/sirloin steaks, each weighing about 150g
1 red onion, chopped
1 clove garlic, crushed
200g mixed mushrooms, sliced
1 heaped tsp flour
1 tbsp red wine (optional)
1 tsp Dijon mustard
150ml low-salt beef stock"
83,Squid and prawn skewers,"Each 35g serving contains (excludes serving suggestion)
KCal
25
Carbs
0.1g
Fibre
0.0g
Protein
4.8g
Fat
0.6g
Saturates
0.1g
Sugars
0.1g
Salt
0.12g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
20 squid rings
10 raw peeled jumbo king prawns
1 clove garlic, crushed
1 small red chilli, finely chopped
juice and finely grated zest 1 lemon
1 tsp rapeseed oil"
84,Spinach and Wensleydale stuffed portobello mushroom,"Each 348g serving contains (excludes serving suggestion)
KCal
289
Carbs
23.8g
Fibre
6.5g
Protein
15.7g
Fat
13.2g
Saturates
5.7g
Sugars
7.5g
Salt
1.1g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 small onion, finely chopped
1 tsp olive oil
1 large portobello mushroom
100g baby spinach leaves
good pinch dried thyme
1 clove garlic, crushed
1 tsp Dijon mustard
1 slice wholemeal bread, crumbled
good pinch pepper
25g Wensleydale cheese, cut into small cubes (or Cheddar, feta or goat's cheese)"
85,"Spinach, red onion and potato tortilla","Each 258g serving contains (excludes serving suggestion)
KCal
233
Carbs
19.1g
Fibre
4.2g
Protein
13.8g
Fat
10.3g
Saturates
2.4g
Sugars
4.2g
Salt
0.33g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
400g new potatoes
250g frozen leaf spinach (130g once defrosted and excess water squeezed out)
1 tbsp olive oil
1 large red onion, thinly sliced
5 eggs
pinch pepper, to season"
86,"Spinach, lemon and feta salad","Each 117g serving contains (excludes serving suggestion)
KCal
119
Carbs
1.8g
Fibre
2.5g
Protein
4.7g
Fat
9.8g
Saturates
2.2g
Sugars
1.7g
Salt
0.54g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g fresh spinach
1 tbsp pine nuts
30g feta cheese
grated zest and juice 1 lemon
1 tbsp extra-virgin olive oil
freshly ground black pepper"
87,Spinach and ricotta cannelloni,"Each 170g serving contains (excludes serving suggestion)
KCal
171
Carbs
20.8g
Fibre
4.2g
Protein
8.5g
Fat
5.0g
Saturates
2.4g
Sugars
6.1g
Salt
0.14g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 large onion, finely chopped
1 leek, finely chopped
3 cloves garlic, crushed
250g frozen leaf spinach
150g ricotta cheese
half tsp nutmeg
120g cannelloni (dry weight), cooked according to pack instructions and refreshed in cold water
400g can chopped tomatoes
1 heaped tsp oregano
1 tbsp tomato puree
good grind black pepper
25g Mozzarella, thinly sliced"
88,"Spinach, corn and chickpea fritters","Each 188g serving contains (excludes serving suggestion)
KCal
165
Carbs
15.9g
Fibre
7.8g
Protein
10.7g
Fat
4.8g
Saturates
0.7g
Sugars
3.5g
Salt
0.08g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 small onion, grated
1 red pepper, finely chopped
1 egg, beaten
150g frozen spinach, defrosted, water squeezed out, roughly chopped
1 tsp cumin
1 red chilli, finely chopped
80g frozen corn, defrosted
400g can chickpeas, drained and mashed thoroughly)
25g gram flour
10g fresh coriander, chopped
salad, to serve"
89,Spinach and rice soup,"Each 559g serving contains (excludes serving suggestion)
KCal
310
Carbs
49.1g
Fibre
6.4g
Protein
7.6g
Fat
7.8g
Saturates
2.2g
Sugars
8.7g
Salt
0.87g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 small onion, chopped
1 clove garlic, crushed
1 carrot, finely chopped
100g brown rice
150g bag fresh or frozen spinach
900ml low-salt vegetable stock
2 tbsp single cream
freshly ground black pepper"
90,Spinach and mushroom lasagne,"Each 483g serving contains (excludes serving suggestion)
KCal
287
Carbs
40.0g
Fibre
9.1g
Protein
15.3g
Fat
5.0g
Saturates
1.9g
Sugars
12.8g
Salt
0.41g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
800g tin chopped tomatoes
1 tbsp tomato puree
2 cloves garlic, crushed
1 heaped tsp dried oregano
1 tsp olive oil
1 onion, finely chopped
1 large red pepper, finely chopped
250g mushrooms, thinly sliced
2 tsp plain flour
250ml skimmed milk
300g frozen spinach (150g when defrosted and drained)
100g extra-light cream cheese
1 tsp Dijon mustard
good pinch black pepper
250g pack wholemeal lasagne
2-3 fresh tomatoes, thinly sliced
30g Cheddar
6 fresh, torn basil leaves, to garnish"
91,Spicy prawns and pak choi stir-fry,"Each 331g serving contains (excludes serving suggestion)
KCal
184
Carbs
11.4g
Fibre
5.7g
Protein
17.4g
Fat
6.5g
Saturates
0.6g
Sugars
9.1g
Salt
0.85g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 onion, thinly sliced
1 red pepper, thinly sliced
4 chestnut mushrooms, sliced
2 cloves garlic, crushed
half red chilli, chopped (or pinch chilli flakes)
1 tbsp rapeseed oil
150g raw king prawns
2 tsp reduced-salt soy sauce
1 heaped tsp Chinese five-spice
2 pak choi, leaves left whole and stems chopped
2 tbsp water"
92,Spicy roasted chickpeas,"Each 50g serving contains (excludes serving suggestion)
KCal
79
Carbs
8.1g
Fibre
2.9g
Protein
3.9g
Fat
2.9g
Saturates
0.2g
Sugars
0.4g
Salt
0.4g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
400g tin chickpeas
2 tsp rapeseed oil
half tsp ground cumin
half tsp chilli powder"
93,Spicy pork ramen,"Each 654g serving contains (excludes serving suggestion)
KCal
491
Carbs
54.1g
Fibre
7.7g
Protein
33.8g
Fat
13.8g
Saturates
2.3g
Sugars
10.7g
Salt
0.95g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g pork fillet, fat trimmed and finely sliced
juice half lime
good grind black pepper
2 tsp rapeseed oil
1 small onion, finely chopped
2cm fresh ginger, finely chopped
1-2 cloves garlic, crushed
1 small red chilli, thinly sliced
1 red pepper, cut into chunks
80g mushrooms, cut into wedges
1 low-salt vegetable stock cube, dissolved in 600ml water
1 tsp reduced-salt soy sauce
100g bean sprouts
6 radishes, sliced
4 spring onions, sliced into 2cm pieces
300g fresh egg noodles
8-10 coriander leaves"
94,Spicy butternut squash soup,"Each 380g serving contains (excludes serving suggestion)
KCal
204
Carbs
25.3g
Fibre
6.6g
Protein
3.9g
Fat
8.2g
Saturates
3.4g
Sugars
14.2g
Salt
0.3g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp rapeseed oil
1 onion, chopped
half–1 red chilli, chopped
1 clove garlic, crushed
2x medium butternut squash, peeled, deseeded and chopped
1 tbsp medium curry paste
1 low-salt vegetable stock cube
200ml reduced-fat coconut milk
2 tbsp fresh coriander, chopped
freshly ground black pepper, to serve
slice chilli and coriander leaves, to garnish"
95,Spicy ginger and garlic pork with pak choi,"Each 320g serving contains (excludes serving suggestion)
KCal
211
Carbs
8.6g
Fibre
4.6g
Protein
23.1g
Fat
8.3g
Saturates
2.0g
Sugars
6.8g
Salt
0.31g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
180g pork fillet, trim fat and cut into 1cm-thick slices
4 cloves garlic, crushed
6cm fresh ginger, chopped
1–2 small red chillies, finely sliced
juice half lime
2 tsp Chinese five-spice
2 tsp toasted sesame oil
3–4 heads pak choi
1 tsp rapeseed oil
1 bunch spring onions, chopped into 3cm-long pieces"
96,Spicy bean quesadillas,"Each 304g serving contains (excludes serving suggestion)
KCal
371
Carbs
49.9g
Fibre
12.9g
Protein
17.0g
Fat
8.6g
Saturates
2.0g
Sugars
7.5g
Salt
0.7g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 wholemeal tortillas
1 tbsp almond butter
half tin pinto beans, roughly mashed
1 tbsp tomato puree
80g frozen peas, defrosted and roughly mashed
half tsp ground cumin
half tsp oregano
half tsp mild chilli powder
2 spring onions, finely chopped
1 tomato, finely chopped
half green pepper, finely chopped
1 tbsp fresh coriander, roughly chopped, plus a little to serve
1 tbsp finely chopped red onion, to serve"
97,Spicy potato wedges,"Each 317g serving contains (excludes serving suggestion)
KCal
278
Carbs
41.6g
Fibre
5.0g
Protein
9.2g
Fat
7.2g
Saturates
2.3g
Sugars
5.5g
Salt
0.15g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
8 baking potatoes, each cut into 8 wedges (total weight 1.6kg)
3 tbsp rapeseed oil
1 tbsp paprika
For the garlic and herb dip:
200g tub half-fat cream cheese
200g pot fat-free fromage frais
2 cloves garlic, crushed
3 tbsp fresh mint, chopped
3 tbsp fresh parsley, chopped
For the spicy tomato salsa:
400g tin chopped tomatoes
1 red chilli
1 clove garlic, crushed
3 tbsp fresh coriander, chopped"
98,Spicy duck topped poppadoms,"Each 17g serving contains (excludes serving suggestion)
KCal
30
Carbs
1.7g
Fibre
0.2g
Protein
2.3g
Fat
1.5g
Saturates
0.3g
Sugars
1.0g
Salt
0.12g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 duck breasts, skin and fat removed (weight 400g)
2 tsp Chinese five-spice
1 tbsp rapeseed oil
40 mini poppadoms
6cm piece cucumber, seeds removed finely chopped
2 tbsp fresh coriander, roughly chopped
4 spring onions, finely shredded
4 tbsp mango chutney"
99,Spicy crab tortilla,"Each 298g serving contains (excludes serving suggestion)
KCal
336
Carbs
47.4g
Fibre
4.7g
Protein
19.7g
Fat
6.5g
Saturates
2.4g
Sugars
6.6g
Salt
1.49g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 onion, finely chopped
2.5cm fresh ginger, peeled and grated
1 clove garlic, crushed
1 tsp dried red chilli flakes
1 tsp ground cumin
240g cooked white crab meat
3 tbsp fresh coriander, chopped
8 small flour tortillas (approx. 40g each)
100g mixed salad leaves
4 medium tomatoes, sliced
8 lime wedges, to serve"
100,Spiced mince and lentil stuffed peppers,"Each 418g serving contains (excludes serving suggestion)
KCal
389
Carbs
29.8g
Fibre
11.3g
Protein
36.0g
Fat
11.4g
Saturates
5.5g
Sugars
13.8g
Salt
0.65g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 small onion, chopped
200g lean beef mince (5% fat)
1 tsp ground cumin
pinch cayenne pepper
400g tin brown/green lentils
200g tin chopped tomatoes
1 tbsp tomato purée
2 tbsp mature Cheddar cheese, grated
1 yellow pepper, halved and deseeded
1 red pepper, halved and deseeded"
101,Spiced chickpea soup with sourdough starter,"Each 50g serving contains (excludes serving suggestion)
KCal
229
Carbs
28.0g
Protein
14.0g
Fat
4.9g
Saturates
0.7g
Sugars
5.6g
Salt
0.9g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 onions diced
olive oil
200g chickpeas, soaked overnight and cooked
150g lentils rinsed
500g tomatoes diced
4 celery stalks sliced
1 tablespoon tomato puree
1 teaspoon ginger
2 cinnamon sticks
1 teaspoon tumeric
1 litre meat stock
1 cup sourdough starter
generous seasoning of pepper
handful coriander and parsley, roughly chopped
juice 1 lemon"
102,Spiced apple and raisin muesli bars,"Each 54g serving contains (excludes serving suggestion)
KCal
91
Carbs
14.4g
Fibre
1.6g
Protein
2.2g
Fat
2.3g
Saturates
0.3g
Sugars
6.5g
Salt
0.01g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 bananas (100g each peeled weight)
2 apples, cored and finely ￼￼￼￼￼￼￼chopped, but not peeled (125g each)
175g rolled oats
150ml apple juice
40g raisins
40g mixed seeds, such as sunflower and pumpkin
1 heaped tsp ground cinnamon
1 tsp rapeseed oil"
103,Spiced red cabbage,"Each 128g serving contains (excludes serving suggestion)
KCal
67
Carbs
10.4g
Fibre
4.1g
Protein
1.6g
Fat
1.1g
Saturates
0.4g
Sugars
10.0g
Salt
0.04g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1kg red cabbage, cored and finely sliced
2 eating apples, sliced
1 cinnamon stick
8 cloves
1 tbsp light soft brown sugar
2 tbsp white wine vinegar
knob of butter"
104,Spiced apple polenta bites,"Each 31g serving contains (excludes serving suggestion)
KCal
50
Carbs
6.3g
Fibre
0.4g
Protein
0.9g
Fat
2.3g
Saturates
0.2g
Sugars
2.9g
Salt
0.04g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300ml boiling water
20g sugar
8 stevia tablets
1 heaped tsp ground ginger
1 heaped tsp ground cinnamon
half level tsp ground cloves
40g raisins
15g candied peel
100g instant polenta
1 unpeeled apple, cored and grated
1 egg, beaten
50ml rapeseed oil
half tsp baking powder
mini paper/foil baking cases
3 glacé cherries, 6 blanched almonds and 1 tsp pine nuts, to garnish"
105,Spiced citrus teabread,"Each 77g serving contains (excludes serving suggestion)
KCal
252
Carbs
50.0g
Fibre
2.5g
Protein
5.8g
Fat
2.6g
Saturates
0.6g
Sugars
25.9g
Salt
0.1g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
450g strong flour
half tsp ground cinnamon
1 sachet easy-blend dried yeast
50g polyunsaturated spread
50g soft brown sugar
grated zest and juice 1 lemon
grated zest and juice 2 oranges
200g sultanas
100g ready-to-eat dried apricots, chopped
200g raisins
1 egg, beaten
1 tbsp milk"
106,Speedy salmon pasta,"Each 382g serving contains (excludes serving suggestion)
KCal
520
Carbs
58.6g
Fibre
5.6g
Protein
31.7g
Fat
16.4g
Saturates
3.0g
Sugars
5.2g
Salt
0.13g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tbsp mixed fresh herbs, chopped (e.g. parsley, coriander)
grated zest and juice 1 lime
2 pieces skinless, salmon fillet (approx. 100g each)
150g pasta shapes
100g sugarsnap peas
2 tomatoes, chopped"
107,Spanish onion and anchovy pizza,"Each 101g serving contains (excludes serving suggestion)
KCal
168
Carbs
24.4g
Fibre
2.1g
Protein
5.5g
Fat
4.9g
Saturates
0.7g
Sugars
4.8g
Salt
0.62g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g strong plain flour
quarter tsp salt
7g sachet easy-blend yeast
2 tbsp olive oil
75ml semi-skimmed milk
2 large onions, finely sliced
25g tin anchovies, drained and roughly chopped
1 tbsp pinenuts
1 tbsp sultanas
half tsp chilli flakes
2 tsp fresh chives, chopped, to garnish"
108,"Spaghetti with courgette, chilli and tomato","Each 215g serving contains (excludes serving suggestion)
KCal
319
Carbs
55.0g
Fibre
11.2g
Protein
12.1g
Fat
3.2g
Saturates
0.5g
Sugars
7.7g
Salt
0.03g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
225g wholewheat spaghetti
1 tsp rapeseed oil
1 courgette, quartered lengthways, then chopped
1 clove garlic, crushed
1 red chilli, finely chopped
300ml passata
2 tbsp chopped fresh parsley"
109,Spaghetti carbonara,"Each 282g serving contains (excludes serving suggestion)
KCal
412
Carbs
57.5g
Fibre
8.5g
Protein
21.4g
Fat
8.9g
Saturates
2.6g
Sugars
7.0g
Salt
0.42g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
150g wholemeal spaghetti
150g white spaghetti
1 tsp olive oil
1 large onion, finely chopped
1 leek, finely chopped
2 thin slices smoked ham, finely chopped
25g fresh parsley, chopped
2 medium eggs
100g 0% fat Greek yogurt
good pinch white pepper
25g Parmesan, finely grated
2 tsp olive oil
good grind black pepper
2 tsp chopped fresh basil, to serve"
